campaign_id,adgroup_id,criterion_id,date,position,match_type,clicks,conversions
131653159,7333929799,13415816758,2015-11-17,1,Exact,1862,1031
131653159,15256091839,114370995,2015-11-17,1.4,Exact,153,106
131653159,18163622599,48179390,2015-11-17,2.5,Exact,116,60
131653159,5837112199,37004490,2015-11-17,1.8,Exact,85,40
131653159,15256429279,78819878599,2015-11-17,2.8,Broad,78,36
131653159,15256412359,19515221,2015-11-17,2.6,Broad,44,28
131653159,7385380879,50760790879,2015-11-17,3.9,Broad,22,27
131653159,8525586079,55771254319,2015-11-17,3.8,Broad,7,26
131653159,14573350519,562006192,2015-11-17,2.7,Phrase,37,22
131653159,11017797439,145233652,2015-11-17,4.5,Phrase,76,22
131653159,7970668639,21772008190,2015-11-17,1,Exact,4,20
131653159,7471113199,87909918,2015-11-17,4.6,Phrase,8,20
131653159,5837112319,114370995,2015-11-17,1.5,Exact,43,19
131653159,5837113039,51526150,2015-11-17,1.5,Exact,34,19
131653159,7394726359,178533124,2015-11-17,1.4,Exact,22,16
131653159,8682194599,139692941,2015-11-17,4.4,Phrase,58,16
131653159,15256094959,178264084,2015-11-17,1,Exact,5,16
131653159,7484673679,24869925272,2015-11-17,2.2,Broad,24,15
131653159,15256415359,14390913250,2015-11-17,2.8,Broad,22,15
131653159,18163624759,381442669,2015-11-17,1,Exact,14,14
131653159,7970668639,14011024843,2015-11-17,1,Exact,3,14
131653159,4950834079,783572006,2015-11-17,1.9,Phrase,3,14
131653159,11017783399,145233552,2015-11-17,3.3,Phrase,8,13
131653159,11017788799,145233612,2015-11-17,2.8,Phrase,13,13
131653159,18163626199,12184051,2015-11-17,1.3,Exact,6,13
131653159,7333929439,41745890962,2015-11-17,1,Exact,36,13
131653159,7484652079,5817091600,2015-11-17,1,Exact,8,12
131653159,7970668279,21777052630,2015-11-17,1,Broad,11,11
131653159,7374180079,3445761728,2015-11-17,3.9,Broad,21,10
131653159,15256412719,13766444407,2015-11-17,3.2,Broad,16,10
131653159,7394720119,309497440,2015-11-17,1.1,Exact,10,10
131653159,5837120599,114368795,2015-11-17,1.8,Exact,31,10
131653159,7970668639,14282122383,2015-11-17,1,Exact,11,10
131653159,11017835839,29963147734,2015-11-17,2.1,Broad,13,10
131653159,5837120119,48179390,2015-11-17,2.3,Exact,34,9
131653159,15256299679,78819976399,2015-11-17,2.4,Phrase,13,9
131653159,3550278199,1049611583,2015-11-17,1.1,Exact,4,9
131653159,18163633879,12184981,2015-11-17,1.6,Exact,4,9
131653159,7970668519,14282123463,2015-11-17,1,Exact,3,9
131653159,3550278679,2754290826,2015-11-17,3.7,Broad,9,9
131653159,7394724439,178265884,2015-11-17,1.8,Exact,3,9
131653159,5837120239,114367515,2015-11-17,2.6,Exact,25,9
131653159,8527130359,2562021907,2015-11-17,1,Exact,6,9
131653159,8682195559,57625055959,2015-11-17,1,Phrase,13,8
131653159,7394715199,38093770,2015-11-17,1.7,Exact,16,8
131653159,15256428679,78819878119,2015-11-17,3,Broad,11,8
131653159,5837112919,114368755,2015-11-17,1.5,Exact,30,8
131653159,7333929439,8946359281,2015-11-17,1,Exact,5,8
131653159,7333901959,36315576590,2015-11-17,1.1,Broad,14,8
131653159,11017789039,178265564,2015-11-17,2.9,Phrase,20,8
131653159,4843781119,33931852949,2015-11-17,2,Broad,4,8
131653159,7357385359,1484847234,2015-11-17,2.8,Broad,16,8
131653159,3550276759,1484947314,2015-11-17,1.3,Broad,4,8
131653159,7970668519,13865951538,2015-11-17,1,Exact,8,8
131653159,7358315599,50521307479,2015-11-17,1.9,Broad,7,8
131653159,7394725519,37004500,2015-11-17,2.6,Exact,37,8
131653159,7970668639,24509315586,2015-11-17,1,Exact,2,7
131653159,18163618279,788170976,2015-11-17,2,Exact,11,7
131653159,7488844399,51119657599,2015-11-17,3.1,Broad,6,7
131653159,16879802599,93945491355,2015-11-17,1.8,Broad,5,7
131653159,3550275439,2754300366,2015-11-17,4.6,Broad,2,7
131653159,8682195559,17976715116,2015-11-17,1.4,Phrase,10,7
131653159,18163622839,20847100,2015-11-17,1.6,Exact,16,7
142621759,7970668639,23937993558,2015-11-17,1,Exact,12,7
131653159,3550275439,1484937294,2015-11-17,3.1,Broad,6,6
131653159,7484625799,260714846,2015-11-17,2.8,Broad,14,6
131653159,7385280559,4938129066,2015-11-17,4.1,Broad,4,6
142621759,7394721559,778095246,2015-11-17,1.5,Exact,9,6
131653159,8682193639,716689999,2015-11-17,2,Phrase,4,6
142621759,7373821519,44040891846,2015-11-17,3.8,Broad,23,6
131653159,7394714479,114369515,2015-11-17,2.3,Exact,4,6
131653159,7484649679,4033590970,2015-11-17,1.9,Exact,7,6
131653159,7970668519,18704786407,2015-11-17,1,Exact,10,6
131653159,18163625839,381441559,2015-11-17,1.9,Exact,3,5
131653159,8682194839,86905271,2015-11-17,1.9,Phrase,3,5
131653159,7394722879,10569372654,2015-11-17,1.2,Exact,2,5
131653159,7357850479,7195376286,2015-11-17,3.2,Broad,17,5
131653159,7488846799,51119657599,2015-11-17,3,Broad,10,5
131653159,7351601719,7195354326,2015-11-17,2.7,Broad,2,5
131653159,3550277719,15688879316,2015-11-17,4.1,Broad,11,5
142621759,2545185199,9995469391,2015-11-17,2.8,Broad,25,5
142621759,4065074359,178534104,2015-11-17,3.2,Exact,11,5
131653159,8682194959,1210084404,2015-11-17,2.1,Phrase,4,5
131653159,8525622559,15514152036,2015-11-17,3.4,Broad,6,5
131653159,2545165279,138226013,2015-11-17,2.2,Phrase,5,5
131653159,4954394119,3024636204,2015-11-17,1,Exact,3,5
131653159,8527905799,21400543706,2015-11-17,2.1,Broad,7,5
131653159,11017798879,432220922,2015-11-17,5,Phrase,6,5
142621759,7334695159,4938195786,2015-11-17,2.7,Broad,3,5
131653159,3550278199,2754290706,2015-11-17,2.1,Broad,8,4
131653159,18163624639,80885471748,2015-11-17,1,Exact,3,4
131653159,7970668639,13699805598,2015-11-17,1,Exact,10,4
131653159,11017797919,178269964,2015-11-17,3.2,Phrase,4,4
142621759,7394724319,48289588,2015-11-17,2.9,Exact,15,4
142621759,11017791799,381419269,2015-11-17,2.5,Phrase,9,4
142621759,7351829719,50466133039,2015-11-17,3.1,Broad,7,4
142621759,11017823599,27641630380,2015-11-17,1.8,Broad,7,4
142621759,15256454119,78818929159,2015-11-17,2.4,Broad,21,4
142621759,4942975399,24695113903,2015-11-17,3.7,Broad,9,4
131653159,15256427119,141857213,2015-11-17,2.7,Broad,3,4
142621759,4065055519,1049608253,2015-11-17,1.5,Exact,15,4
142621759,7385344399,5594541188,2015-11-17,1.1,Exact,5,4
142621759,8682194599,178534264,2015-11-17,3.6,Phrase,33,4
142621759,2545221199,14629721,2015-11-17,1.9,Broad,3,4
131653159,4954393999,10557623064,2015-11-17,1.4,Exact,6,4
142621759,7970668639,23464439124,2015-11-17,1,Exact,5,4
142621759,7394720239,424475666,2015-11-17,1.8,Exact,9,4
131653159,1122933499,40656021,2015-11-17,2.8,Broad,11,4
142621759,7970668639,23464438404,2015-11-17,1,Exact,11,4
142621759,7333929439,30255652107,2015-11-17,1,Exact,11,4
142621759,15256308919,1926718133,2015-11-17,3.6,Phrase,9,4
142621759,4942989199,39243019159,2015-11-17,2.6,Broad,6,4
142621759,18163624039,1712675119,2015-11-17,2,Exact,2,3
142621759,7359090799,3239426825,2015-11-17,1.1,Exact,6,3
142621759,7489440559,15540624366,2015-11-17,2.5,Broad,12,3
142621759,11017796359,265463846,2015-11-17,4.4,Phrase,16,3
142621759,15256090279,614038425,2015-11-17,1.1,Exact,4,3
142621759,3002406559,14915580,2015-11-17,1.7,Exact,2,3
142621759,4065156799,614037585,2015-11-17,1.6,Exact,7,3
142621759,7518875119,51360169159,2015-11-17,1.6,Broad,11,3
142621759,7388521519,50786595679,2015-11-17,2.3,Exact,2,3
142621759,11017784119,145234032,2015-11-17,3.8,Phrase,2,3
142621759,4954392199,638049508,2015-11-17,1.2,Exact,4,3
142621759,8527435879,55776714079,2015-11-17,1,Broad,6,3
142621759,4942977559,39241612519,2015-11-17,1.6,Broad,3,3
142621759,7394722159,6569696768,2015-11-17,1,Exact,2,3
142621759,7394712199,178265824,2015-11-17,1,Exact,4,3
142621759,7389305839,33239902788,2015-11-17,1.5,Broad,2,3
142621759,7394729719,267132776,2015-11-17,4.9,Exact,8,3
142621759,7970668639,11103867799,2015-11-17,1,Exact,8,3
142621759,15256102159,4100818759,2015-11-17,1,Exact,3,3
142621759,7373871679,50554932319,2015-11-17,2.5,Phrase,5,3
142621759,4065055519,3313697791,2015-11-17,2.8,Exact,7,3
112793959,8525595199,3239286545,2015-11-17,1.4,Exact,9,3
142621759,7385335279,3239288525,2015-11-17,2.6,Exact,10,3
112793959,2545223839,20436161697,2015-11-17,3.6,Broad,2,2
142621759,4954393999,5621646488,2015-11-17,2.3,Phrase,2,2
132553759,7373830639,4033594390,2015-11-17,2.3,Exact,4,2
112793959,8572251679,20111064655,2015-11-17,2.4,Broad,4,2
112793959,18163619239,5046138784,2015-11-17,1.5,Exact,2,2
142621759,7394725159,1707415616,2015-11-17,2,Exact,2,2
112793959,7492776319,51225004639,2015-11-17,1.6,Broad,5,2
112793959,18163631239,4114022306,2015-11-17,3.4,Exact,2,2
132553759,7388539759,4033615090,2015-11-17,1.7,Exact,5,2
112793959,3550279639,2174642986,2015-11-17,1.5,Broad,7,2
142621759,7519879879,38134095948,2015-11-17,1.5,Broad,4,2
112793959,4942973239,24597972403,2015-11-17,2.6,Broad,7,2
132553759,7394719279,37377450,2015-11-17,1.9,Exact,2,2
112793959,8572250959,3143390942,2015-11-17,4.2,Broad,12,2
112793959,3550280119,1484956704,2015-11-17,2.5,Broad,10,2
112793959,4951257199,783572786,2015-11-17,1.9,Phrase,2,2
134636479,7394710399,2618779263,2015-11-17,1,Exact,3,2
112793959,8526902239,33238974108,2015-11-17,1.3,Broad,6,2
112793959,7385700079,21400537586,2015-11-17,2,Broad,9,2
112793959,7385690959,51229651879,2015-11-17,3.6,Broad,3,2
112793959,3550279399,1120433788,2015-11-17,4.2,Broad,2,2
132553759,3550278079,2198640780,2015-11-17,1.8,Broad,3,2
112793959,18163644679,28170500,2015-11-17,1.3,Exact,2,2
112793959,7970668519,27392146426,2015-11-17,1,Exact,2,2
142621759,15256142719,114371115,2015-11-17,1.3,Exact,4,2
132553759,8526856639,3239322965,2015-11-17,1,Exact,3,2
112793959,7357394479,33238554108,2015-11-17,3.8,Broad,10,2
112793959,18163653319,18708990,2015-11-17,1.3,Exact,2,2
112793959,7394714239,1821943150,2015-11-17,1.3,Exact,3,2
142621759,3550274239,767526751,2015-11-17,2.2,Broad,5,2
112793959,8527905799,6521535964,2015-11-17,2.2,Broad,5,2
112793959,7488853999,6765733825,2015-11-17,2.1,Exact,3,1
112793959,7394722519,12653162622,2015-11-17,1,Exact,2,1
112793959,7388539759,2562019267,2015-11-17,2.1,Exact,3,1
132553759,7358634799,260676656,2015-11-17,2.4,Broad,4,1
112793959,7484661679,962071261,2015-11-17,2.6,Exact,3,1
112793959,7387764559,33240511548,2015-11-17,1.3,Broad,10,1
112793959,7358657599,50522893759,2015-11-17,3.2,Broad,2,1
